accuracy,loss,val_accuracy,val_loss,learning_rate
0.35446667671203613,1.8075696229934692,0.4284000098705292,1.6085600852966309,0.0005000000237487257
0.4200666546821594,1.6368430852890015,0.44119998812675476,1.5409455299377441,0.0005000000237487257
0.4388444423675537,1.589587688446045,0.4641999900341034,1.4992499351501465,0.0005000000237487257
0.45515555143356323,1.551896333694458,0.47839999198913574,1.4735852479934692,0.0005000000237487257
0.45942223072052,1.5285166501998901,0.4867999851703644,1.4494242668151855,0.0005000000237487257
0.4666889011859894,1.5085238218307495,0.47440001368522644,1.4499473571777344,0.0005000000237487257
0.4733999967575073,1.4972214698791504,0.49320000410079956,1.4188519716262817,0.0005000000237487257
0.4796888828277588,1.4762866497039795,0.4970000088214874,1.4142823219299316,0.0005000000237487257
0.4819111227989197,1.4661873579025269,0.5044000148773193,1.4040032625198364,0.0005000000237487257
0.4852222204208374,1.4551948308944702,0.49959999322891235,1.4003703594207764,0.0005000000237487257
0.49062222242355347,1.4473592042922974,0.5027999877929688,1.393981695175171,0.0005000000237487257
0.49291110038757324,1.439431071281433,0.5059999823570251,1.3801461458206177,0.0005000000237487257
0.49602222442626953,1.4278621673583984,0.5148000121116638,1.3826735019683838,0.0005000000237487257
0.49897778034210205,1.427028775215149,0.5131999850273132,1.3691763877868652,0.0005000000237487257
0.5044666528701782,1.4146214723587036,0.5117999911308289,1.3710123300552368,0.0005000000237487257
0.5057333111763,1.4107074737548828,0.520799994468689,1.3613084554672241,0.0005000000237487257
0.5077999830245972,1.4073477983474731,0.5166000127792358,1.3674707412719727,0.0005000000237487257
0.5096666812896729,1.3957383632659912,0.5180000066757202,1.3623565435409546,0.0005000000237487257
0.5101555585861206,1.393344759941101,0.5221999883651733,1.3514385223388672,0.0005000000237487257
0.5132889151573181,1.3884018659591675,0.5194000005722046,1.354681134223938,0.0005000000237487257
